date,amount,description
2022-01-01,5000,Salary payment
2022-02-02,-3000,Rent payment
2022-03-05,-200,Grocery shopping
2022-05-03,-1000,Electricity bill
2022-06-07,2500,Client payment
2022-06-01,5000,Salary payment
2022-07-02,-3000,Rent payment
2022-08-05,-200,Grocery shopping
2022-10-03,-1000,Electricity bill
2022-11-07,2500,Client payment
2022-11-01,5000,Salary payment
2022-12-02,-3000,Rent payment
2023-01-05,-200,Grocery shopping
2023-03-03,-1000,Electricity bill
2023-04-07,2500,Client payment
2023-04-01,5000,Salary payment
2023-05-02,-3000,Rent payment
2023-06-05,-200,Grocery shopping
2023-08-03,-1000,Electricity bill
2023-09-07,2500,Client payment
2023-09-01,5000,Salary payment
2023-10-02,-3000,Rent payment
2023-11-05,-200,Grocery shopping
2024-01-03,-1000,Electricity bill
2024-02-07,2500,Client payment
2024-02-01,5000,Salary payment
2024-03-02,-3000,Rent payment
2024-04-05,-200,Grocery shopping
2024-06-03,-1000,Electricity bill
2024-07-07,2500,Client payment
2024-07-01,5000,Salary payment
2024-08-02,-3000,Rent payment
2024-09-05,-200,Grocery shopping
2024-11-03,-1000,Electricity bill
2024-12-07,2500,Client payment
2024-12-01,5000,Salary payment
2025-01-02,-3000,Rent payment
2025-02-05,-200,Grocery shopping
2025-04-03,-1000,Electricity bill
2025-05-07,2500,Client payment
2025-05-01,5000,Salary payment
2025-06-02,-3000,Rent payment
2025-07-05,-200,Grocery shopping
2025-09-03,-1000,Electricity bill
2025-10-07,2500,Client payment
2025-10-01,5000,Salary payment
2025-11-02,-3000,Rent payment
2025-12-05,-200,Grocery shopping
2026-02-03,-1000,Electricity bill
2026-03-07,2500,Client payment
2026-03-01,5000,Salary payment
2026-04-02,-3000,Rent payment
2026-05-05,-200,Grocery shopping
2026-07-03,-1000,Electricity bill
2026-08-07,2500,Client payment
2026-08-01,5000,Salary payment
2026-09-02,-3000,Rent payment
2026-10-05,-200,Grocery shopping
2026-12-03,-1000,Electricity bill
2027-01-07,2500,Client payment
2027-01-01,5000,Salary payment
2027-02-02,-3000,Rent payment
2027-03-05,-200,Grocery shopping
2027-05-03,-1000,Electricity bill
2027-06-07,2500,Client payment
2027-06-01,5000,Salary payment
2027-07-02,-3000,Rent payment
2027-08-05,-200,Grocery shopping
